Genera	0_Rhamnoid	0_Ziziphoid	1_Ventilageneae	1_restofRham	1_Gouaniae	1_restofZizi	2_Rhamnus	2_RestofRham	2_Colubrina	2_RestofZizi	3_ScutnSage	3_RestofRham	3_CeanAlp	3_RestofZizi	4_Berchemia	4_RestofRham	4_Hovenia	4_RestofZizi	5_Krugiodendron	5_RestofRham	6_Alphitonia	6_Bercemia	6_Ceanothus	6_Colubrina	6-Gouania	6_Hovenia	6_Karwinskia	6_Krugiodendron	6_Paliurus	6_Rhamnella	6_Rhamnus	6_Sageretia	6_Scutia	6_Ventilago	6_Ziziphus
Rhamnus leptophylla (35)	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Rhamnus longipes (36)	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Rhamnus napalensis (37)	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Rhamnus oreodendron (38)	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Rhamnus parvifolia (39)	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Rhamnus rosthornii (40)	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Rhamnus sphaerosperma (41)	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Rhamnus subapetala (42)	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Rhamnus utilis (43)	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Sageretia pauciflora (44)	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
