8_0.86_22	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@H](CO3)O)O)O[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)(C)C)C)CC=C1[C@H]1[C@](CC2)(C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)CCC(C1)(C)C)C)C=O
8_0.86_23	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@H](CO3)O)O)O[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)(C=O)C)C)CC=C1[C@H]1[C@](CC2)(C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)CCC(C1)(C)C)C)C
8_0.86_24	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O[C@H]3[C@@H]([C@H]([C@H](CO3)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)(C)C)C)CC=C1[C@@H]1[C@](CC2)(C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CCC(C1)(C)C)C)C
8_0.86_25	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@H]3[C@@H]([C@H]([C@H](CO3)O)O)O[C@H]3[C@@H]([C@H]([C@H](O3)CO)O)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)(C)C)C)CC=C1[C@H]1[C@]3([C@@H](C2)O)C(=O)O[C@@H](C3)C(C1)(C)C)C)C
8_0.86_26	[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@H]([C@H](CO1)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)(C)C)C)[C@H]1[C@]2([C@@H](C3)O)C(=O)O[C@@H](C2)C(C1)(C)C)C)C
8_0.86_27	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O[C@H]3[C@@H]([C@H]([C@@H](O3)CO)O)O)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)(C)C)C)CC=C1[C@H]1[C@@]([C@@H]([C@@H]2O)O)([C@H]([C@@H](C(C1)(C)C)OC(=O)/C(=C\C)/C)O)CO)C)C
8_0.86_28	[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)[C@]([C@H](CC1)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](O1)CO)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)(CO)C)C)[C@H]1[C@@]([C@@H](C3)O)([C@H]([C@@H](C(C1)(C)C)OC(=O)/C(=C\C)/C)O)CO)C)C
8_0.86_29	[C@@]12(C(=O)[C@@](C(=C(C2=O)C(=O)c2cc(c(cc2)O)O)O)(C[C@H](C1(C)C)C[C@@H](C(O)(C)C)O)C[C@H](C(=C)C)CC=C(C)C)CC=C(C)C
8_0.86_30	[C@@]12(C(=O)[C@@](C(=C(C2=O)C(=O)c2cc(c(cc2)O)O)O)(C[C@H](C1(C)C)CC=C(C)C)C[C@H](C(=C)C)CC=C(C)C)C[C@@H](C(O)(C)C)O
8_0.86_31	[C@]12([C@@H]3[C@]([C@]4([C@H](CC3)[C@@H]3[C@@](CC4)(CC[C@H]3C(=C)C)C(=O)O)C)(CC[C@H]1C([C@H]([C@@H]2C(=O)O)OC(=O)c1cc(c(cc1)O)OC)(C)C)C)C
8_0.86_32	CC(=CCC1CC23CC(CC(C(C)(C)O)O)C(C)(C)C(CC=C(C)C)(C(=O)C(=C2OC1(C)C)C(=O)c1ccc(c(c1)O)O)C3=O)C
8_0.86_33	[C@@]12(C(=O)[C@@]3(C(=C(C2=O)C(=O)c2cc(c(cc2)O)O)OC([C@H](C3)C[C@@H](C(O)(C)C)O)(C)C)C[C@@H](C1(C)C)CC=C(C)C)CC=C(C)C
8_0.86_34	CC[C@@H](C)[C@H]1C(=O)N([C@@H](C(=O)N([C@@H](C(=O)NCCC(=O)O[C@@H](C(=O)N2CC[C@@H]([C@@H]2C(=O)N1)C)C[C@@H](C)C(=O)[O-])C)C)C(C)C)C
8_0.86_35	C12=C3C(=C(C(=O)OC(=O)[C@H]1[C@H]1[C@H](C=C([C@H]2/C=C/C=C/C=C(/C[C@@H](C[C@@H]([C@H](C(=O)O)C)O)C)\C)C)[C@H]([C@@H](CC1)C)O)C)C[C@@H]([C@H]3C)O
8_0.86_36	c1(c(cc(cc1)O)O)CC(=O)N[C@H](C(=O)NCCCCCNC(=O)[C@H](NC(=O)[C@H](CCCNC(=N)N)N)CCCN)CC(=O)N
8_0.86_37	CCCCC[C@H](CC(=O)CCc1ccc(c(c1)OC[N+]1=CC2=C(C=NC2=C1)Cc1cccc(c1)[C@H]([NH3+])NCCc1ccccc1)O)O
8_0.86_38	C[C@@H]([C@H]1[C@@H](O1)[C@]1(CC=C[C@@H]2C[C@H]3C(=CC(=O)[C@]4([C@@]3(C[C@@H]([C@@H](C4)O)O)C)CO)[C@]3([C@]2([C@@H]1CC3)CCc1cccc(c1)O)O)O)C(C)C
8_0.86_39	[C@@]12([C@]([C@]3([C@H](C=C2)[C@@]2([C@@H](CC3)C([C@H]([C@@H](C2)O)OC(=O)/C=C/c2ccc(cc2)O)(C)C)C)C)(CC[C@@]2([C@H]1[C@H]([C@@H](CC2)C)C)C(=O)O)C)O
8_0.86_40	[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)[C@]([C@H]([C@@H](C1)O)O)(COC(=O)/C=C\c1ccc(cc1)O)C)C)[C@H]1[C@](CC3)(C(=O)O)CC[C@H]([C@@H]1C)C)C)C
8_0.86_41	[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)[C@@]([C@H]([C@@H](C1)O)OC(=O)/C=C/c1ccc(cc1)O)(CO)C)C)[C@H]1[C@](CC3)(C(=O)O)CC[C@H]([C@@H]1C)C)C)C
8_0.86_42	[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H]([C@@H](C1)O)OC(=O)/C=C/c1ccc(cc1)O)(C)C)C)[C@H]1[C@](CC3)(C(=O)O)CC[C@H]([C@]1(O)C)C)C)C
8_0.86_43	c1c(ccc(c1)/C=C/C(=O)OC[C@@]1([C@H](O)[C@@H](C[C@]2([C@@H]1CC[C@@]1([C@H]2CC=C2[C@]1(CC[C@@]1([C@@H]2CC(CC1)(C)C)C(=O)O)C)C)C)O)C)O
8_0.86_44	[C@H]1(OC(=O)/C=C/c2ccc(cc2)O)[C@@H](C[C@]2([C@H]([C@@]1(CO)C)CC[C@@]1([C@@H]2CC=C2[C@]1(CC[C@@]1([C@@H]2CC(CC1)(C)C)C(=O)O)C)C)C)O
8_0.86_45	CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(C(C)(CO)C5CCC34C)OC(=O)/C=C/c3ccc(cc3)O)C2C1(C)O)C(=O)O
8_0.86_46	[C@@]12([C@H]([C@@](COC(=O)/C=C/c3ccc(cc3)O)([C@@H](CC2)O)C)C(=O)C=C2[C@@H]1CC[C@@H]1[C@@]3([C@H]([C@]([C@@H](CC3)O)(CO)C)CC[C@]1(C2)C)C)C
8_0.86_47	C=C(C)C1CCC2(CCC3(COC(=O)/C=C/c4ccc(c(c4)O)O)C(CCC4C5(C)CCC(C(C)(C)C5CCC34C)O)C12)C(=O)O
8_0.86_48	C=C(C)C1CCC2(CCC3(C)C(CCC4C5(C)CCC(C(C)(COC(=O)/C=C/c6ccc(c(c6)O)O)C5CCC34C)O)C12)C(=O)O
8_0.86_49	CC1(C)CCC2(CC=C3C4(C)CCC5C(C)(C)C(CCC5(C)C4CCC3(C)C2C1)OC(=O)/C=C/c1ccc(cc1)O)C(=O)O
8_0.86_50	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)OC(=O)/C=C/c3ccc(cc3)O)(C)C)C)CC=C1[C@H]1[C@](CC2)(C(=O)O)CC[C@H]([C@@H]1C)C)C)C
8_0.86_51	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@@H](CC4)OC(=O)/C=C/c3ccc(cc3)O)(C)C)C)CC[C@@H]1[C@@H]1[C@@](CC2)(CC[C@H]1C(=C)C)C(=O)O)C)C
8_0.86_52	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)OC(=O)/C=C/c3ccc(cc3)O)(C)C)C)CC=C1[C@@H]1[C@](CC2)(C(=O)O)CCC(C1)(C)C)C)C
8_0.86_53	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@@H](CC4)OC(=O)/C=C/c3ccc(cc3)O)(C)C)C)CC=C1[C@H]1[C@@](CC2)(CC[C@@](C1)(C(=O)O)C)C)C)C
8_0.86_54	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)C(=O)/C=C/c3cc(c(cc3)O)O)(C)C)C)CC=C1[C@H]1[C@](CC2)(C(=O)O)CCC(C1)(C)C)C)C
8_0.86_55	[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H]([C@@H](C1)O)OC(=O)/C=C/c1ccccc1)(C)C)C)[C@H]1[C@](CC3)(C(=O)O)CC[C@H]([C@@H]1C)C)C)C
8_0.86_56	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H]([C@@H](C4)O)OC(=O)/C=C/c3ccccc3)(C)C)C)CC=C1[C@H]1[C@](CC2)(C(=O)O)CCC(C1)(C)C)C)C
8_0.86_57	[C@@]12([C@]3([C@@H]([C@@H]4[C@@](CC3)(CC[C@H]4C(=C)C)C=O)CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)OC(=O)/C=C/c1cc(c(cc1)O)O)(C)C)C)C)C
8_0.86_58	CC1(C)CCC2(CCC3(C)C(C=CC4C5(C)CCC(C(C)(C)C5CCC34C)OC(=O)/C=C/c3ccc(c(c3)O)O)C2C1)C=O
8_0.86_59	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)OC(=O)/C=C/c3cc(c(cc3)O)O)(CO)C)C)CC[C@@H]1[C@@H]1[C@@](CC2)(CC[C@H]1C(=C)C)C(=O)O)C)C
8_0.86_60	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)OC(=O)/C=C/c3cc(c(cc3)O)O)(CO)C)C)CC=C1[C@@H]1[C@](CC2)(C(=O)O)CCC(C1)(C)C)C)C
8_0.86_61	[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)O)(C)C)C)[C@H]1[C@@](CC3)(CC[C@H]([C@@H]1C)C)COC(=O)/C=C/c1ccc(cc1)O)C(=O)O)C
8_0.86_62	[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)O)(C)C)C)[C@H]1[C@](CC3)(C(=O)O)CC[C@H]([C@@H]1C)C)COC(=O)/C=C/c1ccc(cc1)O)C
8_0.86_63	[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)O)(C)C)C)[C@H]1[C@@](CC3)(CC[C@H]([C@@H]1C)C(=O)O)C)COC(=O)/C=C\c1ccc(cc1)O)C
8_0.86_64	C(=C\C(=O)OC[C@]12[C@@]3(CC[C@@H]4C([C@H](CC[C@@]4([C@@H]3CC=C1[C@H]1[C@@](CC2)(CCC(C1)(C)C)C(=O)O)C)O)(C)C)C)/c1ccc(cc1)O
8_0.86_65	C1[C@H](C([C@H]2[C@](C1)([C@H]1[C@@](CC2)([C@@]2(C(=CC1)[C@@H]1[C@@](CC2)(CC[C@@H]([C@@H]1C)COC(=O)/C=C/c1ccc(cc1)O)C(=O)O)C)C)C)(C)C)O
8_0.86_66	[C@]12([C@@H]3[C@]([C@]4([C@H](CC3)[C@@H]3[C@@](CC4)(CC[C@H]3C(=C)C)C(=O)O)C)(CC[C@H]1C([C@@H]([C@H]2COC(=O)/C=C/c1ccc(cc1)O)O)(C)C)C)C
8_0.86_67	C=C(C)C1CCC2(CCC3(C)C(CCC4C5(C)CCC(C(C)(C)C5CC(C34C)OC(=O)/C=C/c3ccc(cc3)O)O)C12)C(=O)O
8_0.86_68	[C@@]12([C@]3([C@@H]([C@@H]4[C@@](CC3)(CC[C@H]4C(=C)C)C(=O)O)CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H]([C@@H](C1)OC(=O)/C=C/c1ccc(cc1)O)O)(C)C)C)C)C
8_0.86_69	[C@@]12([C@]3([C@@H]([C@@]4([C@H](CC3)C([C@H](CC4)OC(=O)/C=C\c3ccc(cc3)O)(C)C)C)CC=C1[C@H]1[C@H](CC2)[C@@H](C[C@@]([C@@H]1C)(O)C)C(=O)O)C)C
