cluster.index.H	parent.mass.H	number.of.spectra.H	RTMean.H	sum.precursor.intensity.H	LibraryID.H	SpectrumID.H	Smiles.H	INCHI.H	ProteoSAFeClusterLink.H	MetFragScore.H	MetFragSMILES.H	MetFragID.H	FusionScore.H	FusionSMILES.H	FusionID.H	ConsensusScore.H	ConsensusSMILES.H	ConsensusID.H
2	845.489	1	276.23	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=2	1	CC[NH2+][C@H]1C=C2C=CCC[C@H]2C[C@@H]1COC(=O)[C@@]12C(=O)c3c(cccc3C(=O)[C@@]1(O2)C/C(=C(\C)/CCc1cc[nH+]c2c1CC[C@H](N2)[NH2+]C)/CO)CC(C)(C)Cc1ccc([nH+]c1)N	SN00173255				1	CC[NH2+][C@H]1C=C2C=CCC[C@H]2C[C@@H]1COC(=O)[C@@]12C(=O)c3c(cccc3C(=O)[C@@]1(O2)C/C(=C(\C)/CCc1cc[nH+]c2c1CC[C@H](N2)[NH2+]C)/CO)CC(C)(C)Cc1ccc([nH+]c1)N	SN00173255
3	915.670	1	619.43	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=3	1	[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)OC/C=C(/CC/C=C(/CC[C@H]([C@@](CCC[C@@](CCC[C@@](CCC[C@@](CCC[C@@](CCC[C@@](CCC=C(C)C)(O)C)(O)C)(O)C)(O)C)(O)C)(O)C)O)\C)\C	SN00297593						
4	829.495	1	394.27	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=4	1.000000,0.123542	[C@@]12([C@]3([C@@H]([C@H](CC3)/C(=C/[C@@H]([C@@H](C(O)(C)C)O)OC)/C)[C@@H](C[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)(C)C)C)O)C)C,C[C@]12CCCC[C@]1([C@H]1CC[C@@]3([C@@H]([C@@H]1CC2)CC[C@]3(C[n+]1c(cc(cc1c1ccccc1)c1ccc(cc1)N1[C@@H](CC(=N1)c1ccccc1)c1ccccc1)c1ccccc1)O)C)C	SN00381132,SN00116682				1,0.082	[C@@]12([C@]3([C@@H]([C@H](CC3)/C(=C/[C@@H]([C@@H](C(O)(C)C)O)OC)/C)[C@@H](C[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)(C)C)C)O)C)C,C[C@]12CCCC[C@]1([C@H]1CC[C@@]3([C@@H]([C@@H]1CC2)CC[C@]3(C[n+]1c(cc(cc1c1ccccc1)c1ccc(cc1)N1[C@@H](CC(=N1)c1ccccc1)c1ccccc1)c1ccccc1)O)C)C	SN00381132,SN00116682
5	971.657	1	576.93	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=5									
6	523.182	1	255.72	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=6	1.00000000,0.98805349,0.74421920,0.71182565,0.68304610,0.68029512,0.65128358,0.64007753,0.64007753,0.64007753	c12c(O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)C)O)O)O)O)O)O)cccc2cc(c(c1O)C(=O)C)C,[C@@]1(Oc2c(C=C1)cc(cc2)C(=O)C)(CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)C[C@](CC(=O)O)(O)C)O)O)O)C,c12n([C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)cnc1c(=O)n1c(n2C)nc(c1C[C@@H]([C@@H](C(=O)OC)NC(=O)OC)O)C,[C@]12([C@@H]3[C@H]([C@@H]([C@@H]1O2)O)C[C@H](O[C@H]3O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)/C=C/c1ccccc1)O)O)O)OC)CO,[C@@H]1(O[C@@H]([C@@H]([C@H]([C@H]1O)O)O)COC(=O)/C=C/c1ccc(cc1)OC)O[C@@H]1OC=C[C@@]2([C@H]1[C@](C[C@H]2O)(O)C)O,[C@@H]1(O[C@@H]([C@@H]([C@H]([C@H]1O)O)O)CO)O[C@@H]1OC=C[C@@]2([C@H]1[C@](C[C@H]2O)(OC(=O)/C=C/c1ccc(cc1)OC)C)O,C[C@]1(C[C@H]([C@@]2([C@@H]1[C@@H](OC=C2)O[C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)CO)O)O)O)O)OC(=O)/C=C/c1ccc(cc1)OC)O,[C@@H]1(/C(=C\C)/[C@H](O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC=C1C(=O)OC)CC(=O)Oc1c(cccc1)CCO,[C@H]1(/C(=C\C)/[C@H](O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC=C1C(=O)OC)CC(=O)OCCc1ccc(cc1)O,[C@@H]1(/C(=C\C)/[C@H](O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC=C1C(=O)OC)CC(=O)Oc1ccc(cc1)CCO	SN00290776,SN00359024,SN00324620,SN00287768,SN00328766,SN00276169,SN00038727,SN00298309,SN00391726,SN00317107				1,0.87,0.867,0.85,0.83,0.821,0.771,0.77,0.756,0.754	c12c(O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)C)O)O)O)O)O)O)cccc2cc(c(c1O)C(=O)C)C,[C@@H]1(O[C@@H]([C@@H]([C@H]([C@H]1O)O)O)COC(=O)/C=C/c1ccc(cc1)OC)O[C@@H]1OC=C[C@@]2([C@H]1[C@](C[C@H]2O)(O)C)O,[C@@H]1(O[C@@H]([C@@H]([C@H]([C@H]1O)O)O)CO)O[C@@H]1OC=C[C@@]2([C@H]1[C@](C[C@H]2O)(OC(=O)/C=C/c1ccc(cc1)OC)C)O,C[C@]1(C[C@H]([C@@]2([C@@H]1[C@@H](OC=C2)O[C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)CO)O)O)O)O)OC(=O)/C=C/c1ccc(cc1)OC)O,CC1(CC(C2C=COC(C12)OC1C(C(C(C(CO)O1)O)O)O)OC(=O)/C=C/c1ccc(c(c1)O)OC)O,[C@H]12[C@H]([C@@H](C[C@@]1(O)C)OC(=O)/C=C/c1cc(c(cc1)O)OC)C=CO[C@H]2O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,[C@H]1(/C(=C\C)/[C@H](O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC=C1C(=O)OC)CC(=O)OCCc1ccc(cc1)O,C\1(=C/C)/[C@H](C(=CO[C@H]1O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C(=O)OCCc1ccc(cc1)O)CC(=O)OC,[C@]12([C@@H]3[C@H]([C@@H]([C@@H]1O2)O)C[C@H](O[C@H]3O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)/C=C/c1ccccc1)O)O)O)OC)CO,c1cc(c(cc1/C=C/C(=O)OCC1CCC(/C=C/OC2C(C(C(C(CO)O2)O)O)O)(C=O)C(C1)O)O)O	SN00290776,SN00328766,SN00276169,SN00038727,MOS43,SN00272585,SN00391726,SN00402470,SN00287768,QCY60
7	522.240	1	580.15	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=7	1.0000000,0.9953373,0.5965766,0.4264453	[C@H]1([C@H](C(=O)N[C@H](C(=O)N/C=C\c2ccc(O1)cc2)Cc1ccccc1)NC(=O)/C=C/C(C)C)c1ccccc1,[C@H]1([C@H](C(=O)N[C@H](C(=O)N/C=C\c2ccc(O1)cc2)[C@H](CC)C)NC(=O)/C=C/c1ccccc1)c1ccccc1,COc1cc(cc(c1O)O)CCC(=O)[C@H](Cc1cc[nH+]c(c1)N)[C@@H](CCc1ccc(c2c1CCCO2)O)O,CC(C)Cc1cccc2c1C(=O)[C@@]1([C@](C2=O)(O1)C/C(=C(\C)/CCc1cc[nH+]c(c1)N)/CO)C(=O)OCCO	SN00277871,SN00287619,SN00175958,SN00173355				1,0.991,0.445,0.411	[C@H]1([C@H](C(=O)N[C@H](C(=O)N/C=C\c2ccc(O1)cc2)[C@H](CC)C)NC(=O)/C=C/c1ccccc1)c1ccccc1,[C@H]1([C@H](C(=O)N[C@H](C(=O)N/C=C\c2ccc(O1)cc2)Cc1ccccc1)NC(=O)/C=C/C(C)C)c1ccccc1,COc1cc(cc(c1O)O)CCC(=O)[C@H](Cc1cc[nH+]c(c1)N)[C@@H](CCc1ccc(c2c1CCCO2)O)O,CC(C)Cc1cccc2c1C(=O)[C@@]1([C@](C2=O)(O1)C/C(=C(\C)/CCc1cc[nH+]c(c1)N)/CO)C(=O)OCCO	SN00287619,SN00277871,SN00175958,SN00173355
8	957.506	1	441.38	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=8	1.0000000,0.9923176,0.9907109,0.9773446,0.9761753,0.9748245,0.9693081,0.9692350,0.9690579,0.9683967	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)(CO)C)C)CC=C1[C@H]1[C@](CC2)(C(=O)O)CCC(C1)(C)C)C)C,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)(C)C)C)CC=C1[C@H]1[C@]([C@H](C2)O)(CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CCC(C1)(C)C)C)C,C(=O)([C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)O[C@@H]1CC[C@]2([C@@H](C1(C)C)CC[C@@]1([C@H]2CC=C2[C@]1(C[C@@H]([C@@]1([C@@H]2CC(CC1)(C)C)CO[C@@H]1[C@H]([C@@H]([C@H]([C@H](CO)O1)O)O)O)O)C)C)C)O[C@@H]1[C@H]([C@@H]([C@H]([C@H](CO)O1)O)O)O)O)O)O,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O)(CO)C)C)CC=C1[C@H]1[C@](CC2)(C(=O)O)CCC(C1)(C)C)C)C,C=C(C)C1CCC2(CCC3(C)C(CC(C4C5(C)CCC(C(C)(CO)C5CCC34C)OC3C(C(C(C(COC4C(C(C(C(CO)O4)OC4C(C(C(C(C)O4)O)O)O)O)O)O3)O)O)O)O)C12)C(=O)O,[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](C[C@@H]2O)C([C@H](CC1)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O)O)(C)C)C)[C@H]1[C@@](CC3)([C@@H](CC(C1)(C)C)O)C(=O)O)C)C,[C@H]1([C@H]([C@H]([C@@H](O[C@H]1C)O[C@@H]1[C@H]([C@@H]([C@@H](CO)O[C@H]1O[C@@H]1[C@H]([C@@H]([C@@H](C(=O)O)O[C@H]1O[C@H]1CC[C@]2([C@@H]([C@@]1(C)CO)CC[C@@]1([C@@H]2CC=C2[C@]1(C[C@@H]([C@@]1([C@@H]2CC(C[C@H]1O)(C)C)C)O)C)C)C)O)O)O)O)O)O)O,[C@@]12(C(=CC[C@@H]3[C@@]1(CC[C@H]1[C@]3(CC[C@H]([C@]1(CO)C)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C(=O)O)O)O)O[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)CO)O)O)O[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)C)C)[C@@H]1[C@@]([C@@H]([C@H](C(C1)(C)C)O)O)(CC2)C)C,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O[C@H]3[C@@H]([C@@H]([C@H]([C@@H](O3)C)O)O)O)(C)C)C)CC=C1[C@H]1[C@@](CC2)([C@@H]([C@@H]([C@](C1)(CO)C)O)O)C)C)C,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O)(CO)C)C)CC=C1[C@@H]1[C@](CC2)(C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC[C@H]([C@@H]1C)C)C)C	SN00387960,SN00322428,SN00332848,SN00292742,DOP55,SN00283839,SN00283742,SN00226133,SN00280188,SN00378823				1,0.999,0.999,0.999,0.998,0.978,0.978,0.978,0.977,0.976	CC1(C)CCC2(C(C1)C1=CCC3C4(C)CCC(C(C)(C)C4CCC3(C)C1(C)CC2O)OC1C(C(C(C(CO)O1)O)OC1C(C(C(C(CO)O1)O)O)O)OC1C(C(C(C(CO)O1)O)O)O)C(=O)O,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)(CO)C)C)CC=C1[C@H]1[C@](CC2)(C(=O)O)CCC(C1)(C)C)C)C,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)(CO)C)C)CC=C1[C@H]1[C@](CC2)(C(=O)O)CCC(C1)(C)C)C)C,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(C(C(C)(C)C5CCC34C)OC3C(C(C(C(CO)O3)OC3C(C(C(C(CO)O3)O)O)O)O)OC3C(C(C(C(CO)O3)O)O)O)O)C2C1)C(=O)O,[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](C[C@@H]2O)C([C@H](CC1)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O)O)(C)C)C)[C@H]1[C@@](CC3)([C@@H](CC(C1)(C)C)O)C(=O)O)C)C,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O)(CO)C)C)CC=C1[C@H]1[C@](CC2)(C(=O)O)CCC(C1)(C)C)C)C,[C@@H]1(O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)CO)O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1CC[C@@]2([C@@H]3CC=C4[C@H]5CC(CC[C@@]5([C@H](C[C@]4([C@@]3(CC[C@@H]2C1(C)C)C)C)O)C(=O)O[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)CO)(C)C)C)CO,[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)(C)C)C)[C@H]1[C@]([C@@H](C3)O)(C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CCC(C1)(C)C)C)C,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O)(CO)C)C)CC=C1[C@@H]1[C@](CC2)(C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC[C@H]([C@@H]1C)C)C)C,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(C(C)(CO)C5CCC34C)OC3C(C(C(C(CO)O3)OC3C(C(C(C(CO)O3)O)O)O)O)O)C2C1)C(=O)OC1C(C(C(C(CO)O1)O)O)O	OTD37,SN00387960,SN00372483,MMX30,SN00283839,SN00292742,SN00325204,SN00308249,SN00378823,PWT08
9	977.442	1	454.91	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=9	1.0000000,0.9981580,0.9568009	CC(=CC1CC(C)(C2C3CCC4C5(C)CCC(C(C)(C)C5CCC4(C)C43CC2(OC4)O1)OC1C(C(C(CO1)O)OC1C(C(C(C(CO)O1)OS(=O)(=O)O)O)O)OC1C(C(C(CO)O1)O)O)O)C,[C@]123[C@]4([C@@H]([C@@]5([C@@H](CC4)C([C@H](CC5)O[C@H]4[C@@H]([C@@H](O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COS(=O)(=O)O)O)O)O)[C@H](CO4)O)O[C@H]4[C@@H]([C@H]([C@@H](O4)CO)O)O)(C)C)C)CC[C@H]1[C@@H]1[C@@](C2)(OC3)OC[C@H]([C@@]1(O)C)C=C(C)C)C,[C@H]1(OC[C@@H]([C@@H]([C@H]1O)O)O)O[C@@H]1[C@H]([C@@H]([C@@H](COS(=O)(=O)O)O[C@H]1O[C@H]1[C@H](CO[C@H]([C@@H]1O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@H]2CC[C@@H]2[C@]31C[C@]1([C@H]2[C@]([C@@H](CO1)C=C(C)C)(O)C)OC3)C)C)O)O)O	ODX78,SN00251940,SN00359236				1,0.93,0.927	CC(=CC1CC(C)(C2C3CCC4C5(C)CCC(C(C)(C)C5CCC4(C)C43CC2(OC4)O1)OC1C(C(C(CO1)O)OC1C(C(C(C(CO)O1)OS(=O)(=O)O)O)O)OC1C(C(C(CO)O1)O)O)O)C,[C@]123[C@]4([C@@H]([C@@]5([C@@H](CC4)C([C@H](CC5)O[C@H]4[C@@H]([C@@H](O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COS(=O)(=O)O)O)O)O)[C@H](CO4)O)O[C@H]4[C@@H]([C@H]([C@@H](O4)CO)O)O)(C)C)C)CC[C@H]1[C@@H]1[C@@](C2)(OC3)OC[C@H]([C@@]1(O)C)C=C(C)C)C,[C@H]1(OC[C@@H]([C@@H]([C@H]1O)O)O)O[C@@H]1[C@H]([C@@H]([C@@H](COS(=O)(=O)O)O[C@H]1O[C@H]1[C@H](CO[C@H]([C@@H]1O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@H]2CC[C@@H]2[C@]31C[C@]1([C@H]2[C@]([C@@H](CO1)C=C(C)C)(O)C)OC3)C)C)O)O)O	ODX78,SN00251940,SN00359236
