cluster.index	CF_componentindex	CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	CF_substituents	CF_score	CF_kingdom_scores	CF_superclass_scores	CF_class_scores	CF_subclass_scores	CF_directparent_scores	CF_substituents_scores
1637	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
1877	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
287	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
261	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
1875	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
1245	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
2003	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
1754	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
1432	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
1622	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
