cluster.index	CF_componentindex	CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	CF_substituents	CF_score	CF_kingdom_scores	CF_superclass_scores	CF_class_scores	CF_subclass_scores	CF_directparent_scores	CF_substituents_scores
746	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
821	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
669	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1941	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1279	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
381	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
2001	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1949	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1883	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
961	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1100	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
432	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
747	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1319	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
344	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
863	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
2107	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1643	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
477	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
2172	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1543	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1567	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
155	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
2200	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
284	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
453	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1494	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
482	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1438	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
235	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1965	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
896	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
609	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
2248	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1071	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
197	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
632	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1394	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
163	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1915	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
240	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
320	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1459	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
643	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
468	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1503	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
534	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
274	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
2165	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
403	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
2009	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1203	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1927	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1230	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1173	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1760	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1995	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
785	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1957	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1924	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1763	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
688	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
63	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
119	12	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Cyclic alcohol;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol	0.76	1	0.81	0.558	0.329	0.303	0.033;0.038;0.034;0.02;0.024;0.041;0.039;0.04;0.04;0.029
483	12	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Cyclic alcohol;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol	0.76	1	0.81	0.558	0.329	0.303	0.033;0.038;0.034;0.02;0.024;0.041;0.039;0.04;0.04;0.029
597	12	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Cyclic alcohol;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol	0.76	1	0.81	0.558	0.329	0.303	0.033;0.038;0.034;0.02;0.024;0.041;0.039;0.04;0.04;0.029
1472	12	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Cyclic alcohol;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol	0.76	1	0.81	0.558	0.329	0.303	0.033;0.038;0.034;0.02;0.024;0.041;0.039;0.04;0.04;0.029
