id	Alphitonia philippinensis (1)	Berchemia floribunda (2)	Berchemia giraldiana (3)	Berchemia hirtella (4)	Berchemia huana (5)	Berchemia kulingensis (6)	Berchemia lineata (7)	Berchemia loureiroana (8)	Berchemia sinica (9)	Berchemia yunnanensis (10)	Ceanothus asiaticus (11)	Colubrina arborescens (12)	Colubrina asiatica (13)	Colubrina pubescens (14)	Colubrina spinosa (15)	Gouania hypoglauca (19)	Gouania leptostachya (16)	Gouania leptostachya (18)	Gouania polygama (20)	Guoania javanica (17)	Hovenia acerba (21)	Hovenia acerba var. kiukiangensis (22)	Karwinskia calderonii (23)	Krugiodendron ferreum (24)	Paliurus perforatus (25)	Rhamnella franguloides (26)	Rhamnella tonkinensis (27)	Rhamnus crenata (28)	Rhamnus davurica (29)	Rhamnus diamantiaca (30)	Rhamnus erythroxylon (31)	Rhamnus globosa (32)	Rhamnus hainanensis (33)	Rhamnus koraiensis (34)	Rhamnus leptophylla (35)	Rhamnus longipes (36)	Rhamnus napalensis (37)	Rhamnus oreodendron (38)	Rhamnus parvifolia (39)	Rhamnus rosthornii (40)	Rhamnus sphaerosperma (41)	Rhamnus subapetala (42)	Rhamnus utilis (43)	Sageretia pauciflora (44)	Sageretia thea (45)	Scutia eberhardtia (46)	Scutia myrtina (47)	Ventilago calyculata (48)	Ventilago calyculata var. trichoclada (49)	Ventilago cristata (50)	Ventilago denticulate (51)	Ventilago inaequilateralis (52)	Ventilago leiocarpa (53)	Ventilago leiocarpa var. pubescens (54)	Ventilago maderaspatana (55)	Ventilago oblongifolia (56)	Ventilago pauciflora (57)	Ziziphus apetala (58)	Ziziphus attopensis (59)	Ziziphus cambodiana (60)	Ziziphus funiculosa (61)	Ziziphus guatemalensis (62)	Ziziphus horsfieldii (63)	Ziziphus incurva (64)	Ziziphus mauritiana (65)	Ziziphus oenopolia (66)	Ziziphus poilaneo (67)	Ziziphus rotundifolia (68)	Ziziphus rugosa (69)	Ziziphus rugosa var. harmandii (70)	Ziziphus thyrsiflora (71)
Linear diarylheptanoids;Psoralens	3.0	3.0	3.0	4.0	3.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	2.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	3.0	4.0	5.0	3.0	4.0	3.0	2.0	4.0	4.0	5.0	5.0	2.0	5.0	4.0	4.0	3.0	1.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	4.0	3.0	3.0	3.0	5.0	4.0	4.0	5.0	2.0	5.0
Flavonoid O-glycosides	0.0	2.0	2.0	2.0	3.0	2.0	1.0	1.0	3.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	2.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	3.0	1.0	3.0	1.0	3.0	2.0	1.0	3.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	2.0	3.0	2.0	0.0	0.0	3.0	4.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
Phosphatidylinositol-3,4,5-trisphosphates	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	2.0	1.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anthraquinones	2.0	4.0	4.0	4.0	3.0	3.0	4.0	5.0	4.0	5.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	8.0	2.0	8.0	12.0	10.0	4.0	5.0	6.0	5.0	5.0	3.0	2.0	5.0	9.0	5.0	4.0	2.0	2.0	2.0	3.0	2.0	7.0	6.0	6.0	6.0	4.0	3.0	3.0	7.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
Flavones	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Catechins	1.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0
Lignan glycosides	2.0	2.0	2.0	4.0	1.0	2.0	0.0	2.0	4.0	5.0	0.0	0.0	3.0	4.0	0.0	1.0	2.0	3.0	1.0	3.0	2.0	2.0	1.0	2.0	1.0	0.0	0.0	2.0	0.0	3.0	5.0	3.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	1.0	0.0	2.0	3.0	2.0	0.0	0.0	0.0	5.0	0.0	3.0	3.0	5.0	0.0	3.0	2.0	4.0	1.0	5.0	3.0	2.0	0.0	0.0	0.0	5.0	3.0	6.0	3.0	2.0	5.0	2.0	2.0
Phenolic glycosides	7.0	4.0	5.0	5.0	4.0	6.0	0.0	4.0	6.0	6.0	3.0	0.0	3.0	2.0	5.0	0.0	4.0	6.0	3.0	5.0	4.0	5.0	1.0	1.0	4.0	4.0	2.0	2.0	0.0	2.0	2.0	4.0	1.0	2.0	2.0	4.0	3.0	3.0	4.0	0.0	3.0	1.0	3.0	5.0	0.0	0.0	6.0	7.0	2.0	2.0	5.0	5.0	4.0	7.0	7.0	4.0	4.0	8.0	7.0	1.0	1.0	6.0	5.0	4.0	6.0	8.0	4.0	3.0	5.0	0.0	6.0
Benzyl alcohols;Cyclic depsipeptides	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0
Coumaric acids and derivatives	1.0	1.0	2.0	1.0	3.0	2.0	2.0	1.0	2.0	3.0	3.0	2.0	4.0	3.0	1.0	0.0	2.0	1.0	0.0	2.0	3.0	2.0	2.0	4.0	3.0	1.0	4.0	4.0	7.0	4.0	5.0	5.0	1.0	3.0	5.0	1.0	1.0	2.0	5.0	1.0	3.0	1.0	4.0	10.0	3.0	0.0	5.0	2.0	5.0	2.0	5.0	3.0	2.0	4.0	3.0	4.0	3.0	2.0	3.0	3.0	1.0	0.0	0.0	4.0	2.0	2.0	2.0	2.0	0.0	2.0	0.0
Cerveratrum-type alkaloids;Spirosolanes and derivatives	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flavanonols	0.0	1.0	1.0	2.0	1.0	2.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
Biflavonoids and polyflavonoids	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0
Iridoid O-glycosides	2.0	6.0	6.0	5.0	5.0	5.0	8.0	7.0	8.0	8.0	7.0	1.0	7.0	6.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	1.0	6.0	4.0	4.0	4.0	3.0	6.0	6.0	7.0	6.0	8.0	6.0	7.0	6.0	7.0	8.0	8.0	8.0	5.0	8.0	5.0	7.0	7.0	0.0	0.0	7.0	3.0	4.0	4.0	5.0	2.0	6.0	5.0	4.0	5.0	7.0	4.0	7.0	5.0	4.0	3.0	8.0	0.0	3.0	7.0	6.0	4.0	1.0	1.0	5.0
Steroidal saponins;Triterpene saponins	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Benzophenones;Fatty acyl glycosides of mono- and disaccharides	4.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	3.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	3.0	2.0	5.0	4.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	4.0	3.0	4.0	4.0	5.0	3.0	4.0	4.0	3.0	5.0
Protoberberine alkaloids and derivatives;Zearalenones	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
Lineolic acids and derivatives	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0
Benzenesulfonate esters	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Long-chain fatty acids	8.0	5.0	7.0	5.0	7.0	4.0	4.0	4.0	8.0	6.0	6.0	2.0	8.0	8.0	7.0	8.0	8.0	8.0	9.0	8.0	7.0	6.0	6.0	5.0	6.0	7.0	7.0	7.0	7.0	6.0	6.0	7.0	8.0	7.0	2.0	7.0	5.0	5.0	8.0	5.0	6.0	2.0	5.0	6.0	2.0	3.0	5.0	6.0	5.0	5.0	8.0	4.0	8.0	6.0	6.0	7.0	5.0	5.0	7.0	8.0	7.0	5.0	7.0	9.0	9.0	6.0	6.0	8.0	8.0	5.0	6.0
Diterpene glycosides	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	2.0	1.0	2.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	3.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0
Biphenyls and derivatives	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isoflavones	0.0	2.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
Benzofurans;Neoflavones	0.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hybrid peptides;Macrolides and analogues	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oligosaccharides	0.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	7.0	1.0	3.0	7.0	6.0	1.0	6.0	4.0	3.0	4.0	1.0	4.0	7.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	3.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	3.0
2'-Hydroxychalcones	0.0	2.0	1.0	2.0	1.0	2.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	0.0	1.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0
Agarofurans;Terpene glycosides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8-O-methylated flavonoids;Aurone flavonoids	0.0	2.0	3.0	1.0	0.0	4.0	0.0	2.0	4.0	2.0	4.0	0.0	4.0	4.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	2.0	0.0	4.0	2.0	4.0	1.0	2.0	0.0	2.0	3.0	0.0	1.0	2.0	0.0	1.0	0.0	2.0	1.0	2.0	2.0	0.0	2.0	0.0	4.0	0.0	2.0	2.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	4.0	0.0	1.0	0.0	10.0
