row ID,Alphitonia philippinensis (1),Berchemia floribunda (2),Berchemia giraldiana (3),Berchemia hirtella (4),Berchemia huana (5),Berchemia kulingensis (6),Berchemia lineata (7),Berchemia loureiroana (8),Berchemia sinica (9),Berchemia yunnanensis (10),Ceanothus asiaticus (11),Colubrina arborescens (12),Colubrina asiatica (13),Colubrina pubescens (14),Colubrina spinosa (15),Gouania leptostachya (16),Guoania javanica (17),Gouania leptostachya (18),Gouania hypoglauca (19),Gouania polygama (20),Hovenia acerba (21),Hovenia acerba var. kiukiangensis (22),Karwinskia calderonii (23),Krugiodendron ferreum (24),Paliurus perforatus (25),Rhamnella franguloides (26),Rhamnella tonkinensis (27),Rhamnus crenata (28),Rhamnus davurica (29),Rhamnus diamantiaca (30),Rhamnus erythroxylon (31),Rhamnus globosa (32),Rhamnus hainanensis (33),Rhamnus koraiensis (34),Rhamnus leptophylla (35),Rhamnus longipes (36),Rhamnus napalensis (37),Rhamnus oreodendron (38),Rhamnus parvifolia (39),Rhamnus rosthornii (40),Rhamnus sphaerosperma (41),Rhamnus subapetala (42),Rhamnus utilis (43),Sageretia pauciflora (44),Sageretia thea (45),Scutia eberhardtia (46),Scutia myrtina (47),Ventilago calyculata (48),Ventilago calyculata var. trichoclada (49),Ventilago cristata (50),Ventilago denticulate (51),Ventilago inaequilateralis (52),Ventilago leiocarpa (53),Ventilago leiocarpa var. pubescens (54),Ventilago maderaspatana (55),Ventilago oblongifolia (56),Ventilago pauciflora (57),Ziziphus apetala (58),Ziziphus attopensis (59),Ziziphus cambodiana (60),Ziziphus funiculosa (61),Ziziphus guatemalensis (62),Ziziphus horsfieldii (63),Ziziphus incurva (64),Ziziphus mauritiana (65),Ziziphus oenopolia (66),Ziziphus poilaneo (67),Ziziphus rotundifolia (68),Ziziphus rugosa (69),Ziziphus rugosa var. harmandii (70),Ziziphus thyrsiflora (71)
11,50.808,6.4638,44.0406,53.352,20.5128,33.31017092,183.2648365,15.8832,171.3051,19.89,28.0896,37.3014,5.2875,6.237,0,6.246,9.1638,13.0221,50.7,19.5525,15.2064,0,11.7414,99.9924,233081.0861,65.84305957,18,6.0117,27.72,28.926,0,12.3015,12.6225,27.4104,186.093,25.1748,7.182,7.3185,0,355.4118006,109.4118,23.1855,19.5855,6.4914,13.242,5.2125,15.8379,10.7541,6.0465,10.23,11.8602,11.7264,9.6048,14.883,10.182,41.99945531,10.7226,32.0934,11.4675,24.552,250.3043183,7.5276,67.929517,88.3755,0,18.006,10.692,0,40.2051,4.9896,30.03068591
12,13.5774,15.237,42.4164,10.248,18.3447,36.1674,0,20.364,87.906,53.04,15.228,32.646,12.8466,14.7609,4.7817,0,4.587,7.14,5.175,0,36.5256,53.76,8.244,6.399,8.7822,23.6808,170.9292,44.56265881,5.2125,22.70658043,62.35510342,84.525,241.5312,89.09398608,232657.6789,22.4532,8.2455,41.2857,30.7458,22.34253442,24.6744,18.564,193.2321953,1704.356764,47.3742,6.4356,40.0572,12.546,27.0936,11.7648,13.2864,15.98347689,14.0985,30.16750045,21.9912,11.9529,30.1254,17.4381,111.3471,18.468,28.4235,7.9002,29.2395,0,6.93,41.4801,61.2,7.7034,6.192,28.7094,41.25555509
13,0,69.4176,147.6585,42.0252,7.92,86.24744824,13.143,18.5388,84.1407,60.507,32.2506,14.7354,8.496,0,18.03,14.487,41.5233,17.1666,0,20.3484,18.7842,25.9965,55.9773,21.7623,75.2076,27.7134,40.8,28.2075,19.7064,122.9892,373.4086202,145.2592776,56.5161,38.6169,0,96.048,218.3679317,28.89,24.075,14.2464,11.4912,92.7213,6.0639,10.5618,9.4116,15.8751,57.3252,36.81683597,8.9655,12.0087,10.863,41.106,13.8267,21.4131,29.9136,24.2172,48.405,6.345,17.2536,34.371,220249.9864,95.19601179,169.0753309,61.30085878,26.112,35.6265,0,0,23.577,13.2834,58.3908
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217942.7428,0,0,0,0,0
15,226.641594,46.374,0,171.024,34.146,31.164,18.144,23.58,21.78,0,67.69636084,0,41.07,18.63,207234.6974,4158.772444,1206.842258,595.3474977,205.0638127,3071.129385,107.358,58.28022565,36.792,11.661,32.4,10.71,71.334,0,12.675,44.631,46.8,0,27.336,61.371,15.12,21.6,19.89,47.916,0,33.39,10.2,0,0,0,39.501,83.88,24.336,0,16.2,0,0,17.82,0,0,0,33.948,0,30.624,123.6,36.729,27.15,25.668,1183.939956,22.95,114.138,36.828,40.872,136.584,15.84,9.282,528.7266207
16,28.3185,0,0,0,17.9058,0,10.6155,4.3596,53.361,204.8706,3934.370124,0,45.9207,0,291.5991075,168.1932232,0,76.095,11.661,30.2253,5.46,25.8624,12.096,10.092,15.7821,158.808,0,16.7805,9.6501,0,20.3346,20.988,15.4014,0,0,17.0976,22.7766,29.853,64.728,21.3822,11.2134,26.712,13.2366,0,44.0625,26.082,19.14,0,0,0,0,10.755,6.8628,0,0,40.7628,29.055,22.6896,28.56,25.6335,0,25.3638,43.128,0,194.4966,24.9228,205618.7182,133.6569,93.6318,18.8145,0
17,0,40.239,277.425,0,0,0,205183.3324,53.742,65.25,17.754,0,14.28,0,40.47810384,0,0,0,32.277,21.87,221.445,31.68,20.889,0,221.832,16.065,0,0,0,0,10.71,24.966,17.238,6.417,4.347,12.6,0,0,0,0,17.754,0,0,0,16.14,37.56,0,0,0,0,14.28,0,6.4098,0,0,0,10.2,11.22,0,0,52.65,14.877,0,27.54,0,0,0,0,22.74,0,0,47.124
18,16.8987,36.7389,26.6448,39.3552,16.542,53.6184,0,35.9865,54.366,25.2105,151.3571069,29.9799,17.3808,70.1142,17.3376,22.68666414,41.2515,30.07521497,59.76,9.18,41.8572,15.4155,9.0828,17.0352,10.236,10.872,26.0865,263.4595165,325934.7731,253489.0775,60085.75055,219406.8211,245718.7662,200681.4101,174917.749,7702.799897,62.025,114072.7542,619447.4016,621.555151,230288.2312,219696.3625,125.31,322.5756,39.9546,11.54997377,29.292,163.1025,6.0378,13038.81345,6.9795,36.74027468,201407.5558,88.57894594,91.8978,36.82008728,72.1224,57.5769,22.7745,21.636,30.4428,33.06787266,43.0413,16.7805,144.7413,59.856,48.888,144.1584,10.7163,0,41.8734
19,16.7805,329.9694418,29.0316,1606.757916,17.8815,85.57307999,79.2123,96.75460964,51.70275088,480.7223354,132.4944,23.919,27.474,26.35383693,7.4025,15.228,19.6845,66.66282175,17.5371,55.44,22.7178,13.623,35.8419,23.7303,44.79991436,36.5115,68.09795662,143.9148888,100.4892,4731.645041,60.88224944,3638.395494,0,2638.141277,272052.0076,5241.086516,173.3778,23.7177,126.8631,28.9845,118.1189144,41.76,109113.498,36.225,32.94055536,46.359,17.85,26.0658,15.8136,29.2116,357.1842,5.0184,83.1282,13.0845,15.0822,27.5724,542.8106105,76.11006797,42.7632,16.6278,23.3775,65.148,19.9017,16.8213,89.847,125.6939027,88.7091,21.318,38.7858,15.8616,221.4906
20,0,0,0,0,0,0,0,0,0,0,0,188842.3789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185832.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
