CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	Alphitonia philippinensis (1)	Berchemia floribunda (2)	Berchemia giraldiana (3)	Berchemia hirtella (4)	Berchemia huana (5)	Berchemia kulingensis (6)	Berchemia lineata (7)	Berchemia loureiroana (8)	Berchemia sinica (9)	Berchemia yunnanensis (10)	Ceanothus asiaticus (11)	Colubrina arborescens (12)	Colubrina asiatica (13)	Colubrina pubescens (14)	Colubrina spinosa (15)	Gouania leptostachya (16)	Guoania javanica (17)	Gouania leptostachya (18)	Gouania hypoglauca (19)	Gouania polygama (20)	Hovenia acerba (21)	Hovenia acerba var. kiukiangensis (22)	Karwinskia calderonii (23)	Krugiodendron ferreum (24)	Paliurus perforatus (25)	Rhamnella franguloides (26)	Rhamnella tonkinensis (27)	Rhamnus crenata (28)	Rhamnus davurica (29)	Rhamnus diamantiaca (30)	Rhamnus erythroxylon (31)	Rhamnus globosa (32)	Rhamnus hainanensis (33)	Rhamnus koraiensis (34)	Rhamnus leptophylla (35)	Rhamnus longipes (36)	Rhamnus napalensis (37)	Rhamnus oreodendron (38)	Rhamnus parvifolia (39)	Rhamnus rosthornii (40)	Rhamnus sphaerosperma (41)	Rhamnus subapetala (42)	Rhamnus utilis (43)	Sageretia pauciflora (44)	Sageretia thea (45)	Scutia eberhardtia (46)	Scutia myrtina (47)	Ventilago calyculata (48)	Ventilago calyculata var. trichoclada (49)	Ventilago cristata (50)	Ventilago denticulate (51)	Ventilago inaequilateralis (52)	Ventilago leiocarpa (53)	Ventilago leiocarpa var. pubescens (54)	Ventilago maderaspatana (55)	Ventilago oblongifolia (56)	Ventilago pauciflora (57)	Ziziphus apetala (58)	Ziziphus attopensis (59)	Ziziphus cambodiana (60)	Ziziphus funiculosa (61)	Ziziphus guatemalensis (62)	Ziziphus horsfieldii (63)	Ziziphus incurva (64)	Ziziphus mauritiana (65)	Ziziphus oenopolia (66)	Ziziphus poilaneo (67)	Ziziphus rotundifolia (68)	Ziziphus rugosa (69)	Ziziphus rugosa var. harmandii (70)	Ziziphus thyrsiflora (71)
Organic compounds	Lipids and lipid-like molecules	Carboxylic acids and derivatives;Glycerophospholipids	Glycerophosphoinositol phosphates	Phosphatidylinositol-3,4,5-trisphosphates	427.4778	181.51350000000002	181.7052	17.531100000000002	19.906200000000002	182.31599999999997	87.99029999999999	26.590799999999998	55.9233	257.4951	4187699.997129	463.3412314	64560.466305099995	9255.4295005	204094.38107108994	310.80386740000006	69.9747	382.65317630999994	309.98789999999997	62580.6202246	197.6577	92.75280000000001	40.9893	79.8543	188.049	109.6833	37.033500000000004	65.58000000000001	49.072500000000005	48.8394	30.2247	360.40739999999994	76.4571	158.53410000000002	83.3559	309.76349999999996	42.25020000000001	72.19319999999999	120.5748	70.2078	327.7833	83.2227	57.345299999999995	21.8556	162.70680000000002	115.02000000000001	87.53999999999999	25.0212	21.42	32.5173	0.0	9.6387	127.1133	40.8279	23.7519	15.6	155.05859999999998	198.1332	104.0814	178.7454	51.9057	4560.8826953	260.88262646	46.5342	307.8579	116.6307	30.610500000000002	558.5022501000001	390.9906	166.4146733	589.1892
Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	150016.315481	163931.8722012	136303.0936471	51582.51147342	157313.3460351	122368.91767919999	44125.8945103	85249.6830056	477772.565748	339562.8676556	69772.1063371	5632.2131154	256102.11857489997	216003.0261504	92247.7676964	75800.738227	102032.8774854	193401.47767389996	439796.6702472	1122849.2693586901	169561.13616320002	53748.758745499996	103896.03187505002	92367.5881662	44184.7334136	120597.0653816	115329.060271	169391.75023219996	205524.1799358	183515.487376	129196.0925155	174601.53522969998	69134.067378	191456.9273953	15697.6344078	55378.688789780004	26036.87170371	194464.4797179	124215.67551660001	84086.4618678	149803.2292281	18379.98107505	133890.5282293	64742.0103639	7719.17371623	81452.28541430001	49341.333679999996	109063.97169520002	40372.23310984	69920.91706881	173732.464647	45531.10649361	164075.23308	158551.4013117	86268.7206781	70095.0456664	126655.06865960002	153270.62231439998	261462.43606039995	226478.8785436	345322.1379731	122923.6295558	56610.550714900004	163254.881098	706659.7440099999	123017.8214934	108629.9003188	163181.75034210001	239407.33817928	53587.886806999995	147915.9326426
Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	Lineolic acids and derivatives	68763.87049	49836.017448	201341.26037	10033.270951999999	31419.90105	202511.38975	57687.95518999999	78434.4614	796469.4664	140169.29681	405039.9821	20904.153523	364282.35688	131392.69072	171525.57892	36168.56711	87574.44315	254028.3524	296233.6773	632535.3859999999	121250.40758	17404.765013999997	28692.914195999998	253427.115	50912.38103	31231.029519999996	224913.4074	96518.65290100001	98004.41127	151495.21635	80088.49629	441753.44130000006	43881.158559999996	357185.4765	2224.53672	56358.3315	24340.1964	124769.93426000001	56547.92963	76134.18163	6270.410643	46799.262579999995	24010.98256	97276.78067	4953.029258	15148.166669999999	49617.615119999995	40866.10804	59672.04069000001	47205.826369999995	356270.0527	15909.133670000001	235876.77078000002	106901.8551	62513.79474	57767.365300000005	131175.40503	31454.262260000003	1242.384	28489.642664999996	32801.326230000006	85188.02822	34248.96596	51790.465909	227399.38581	114472.99612	70396.22697	172354.91554999998	93198.33548000001	54342.89607	165110.26385
Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoinositol phosphates	Phosphatidylinositol-4,5-bisphosphates	195.0309	193.398	38.295	33.762	71.493	34.814099999999996	232.88879999999997	51.177899999999994	78.69149999999999	187.6443	266.87943172999996	24.012	2029.975538	185.0286788	371.6622	1304.9591899000002	40.7832	410.4507	133.4667	29667.337249999997	168.0969	11.1078	19.14	72.7578	67.09349999999999	164.5248	327.84749999999997	363.98879999999997	153.4938	80.0106	232.6314	175.5786	45.1116	69.82284691999999	37.0275	35.183099999999996	88.797	60.081	61.3719	51.009	140.9709	54.7569	119.35470000000001	44.4771	143.61232866	119.07	52.371	131.3499	71.6751	32.677499999999995	42.605999999999995	12.189	20.4738	73.32000000000001	26.061600000000002	32.517900000000004	81.705	71.3085	951.1581800000001	114.3342	36.6081	186024.24117999998	226.82231147	40.5186	93.11789999999999	65.9853	45.03360000000001	120.55680000000001	290.81100000000004	31.974000000000004	9171.828844299998
Organic compounds	Lipids and lipid-like molecules	Indoles and derivatives;Prenol lipids	none;Triterpenoids	Beta carbolines;Carbazoles;Cholesteryl esters;Ecdysteroids;Ibogan-type alkaloids;Limonoids;Macroline alkaloids;Sesquaterpenoids;Triterpenoids;Tryptamines and derivatives	275.1172709	204.01200000000003	112.59900000000002	99.46634381000001	41.82	192.99714111	168.97199999999998	125.04	130.96548157	92.538	172.188	75.066	252.05100000000002	146.99099999999999	407.595	67.24199999999999	74.58	5662.704763000001	62960.504748	356522.61931	1784.6492050000002	1082.5194491000002	221.16570410000003	299.5226345	111.44174876999999	201.563198	142.06630115000002	80.04583391999999	112.101	71.52	43.905	91.479	318.594	227.145	300.17999999999995	370.06199999999995	49.239000000000004	72.88199999999999	232.455	91.89	157.53743262	70.59	56.45399999999999	48.33	153.507	367.02599999999995	56.42400000000001	42.574302110000005	80.622	59.058	81.156	43.775999999999996	114.01500000000001	132.20670767	68.589	53.129999999999995	90.294	222.78923880000002	147.579	197.172	79.866	213.75300000000001	522.15	33.573	105.2810365	177.36899999999997	57238.603868	136.932	22.44	93.465	181.18200000000002
Organic compounds	Lipids and lipid-like molecules	Macrolides and analogues	none	Macrolides and analogues	66107.53254999999	14.196	6.93	33.6315	25.95	10.08	30.996	4.761	0.0	7.037999999999999	353.541709	23.561999999999998	6401.71548	397.96304299999997	36057.72498734	128.19299999999998	1937.6136289999997	4896.428965	155444.6983391	50013.17104	70168.7579	4564.377802999999	18.312	186.993	15.717	1868.8716559999998	19.65	16.730999999999998	44.56145151	9.0	26.97963922	101.697	41.85	8.073	17.0067	38.040000000000006	22.44	16.83	21.87	105.31094048	359.853	10.647	60.717	10.14	0.0	1638.1652019	17.85	12.5229	17.01	6.48	15.81	16.38	19.14	24.24	36.663	0.0	27.54	4682.838	2330.9182716	33025.87976	52.785	21021.465433	1695.0219730000001	729.1060209999999	8591.2796628	6087.8523159	4724.491564	812.7368804	1401.6453879	3756.2014670000003	8423.143758
Organic compounds	Lipids and lipid-like molecules	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Iridoid O-glycosides	18553.6241915	109228.674363	61587.3279073	72880.8489512	72673.376819	19193.067809500004	394274.2409500001	95232.36627657	89365.80213	103461.20762200002	152125.745425	6893.852665600001	92459.07699999999	62006.53969889999	21034.8750123	15861.414226600002	26757.750366899996	29433.699250700003	52044.256369300005	102391.9420517	183904.240236	3558.1073064	32275.921976999998	53323.5381237	15930.285041300001	24990.989143	24063.119486800002	181417.84359603998	82180.95138990002	44264.2934956	80166.1401875	113220.697121	46644.443503999995	77326.2958558	53863.7152627	60807.138500299996	98021.91292358	99911.063706	96353.894568	102535.83342554	488694.23847800004	33220.687787	56899.379333000004	118831.25924970002	501.83899227999996	2125.3266407	83840.7676944	30677.08592496	27480.4755303	19322.935795909998	41104.179003	34307.64361494	41542.399564609994	82997.4157218	20755.8575608	18276.28350701	106053.4928651	9274.393049350001	27929.062229260002	13271.013147100002	29852.029140349998	20629.40864956	80904.835897	980.0952339	22936.7036932	89368.3917425	26852.9126895	20310.6548149	8432.90884383	36859.4873389	86645.23949679999
Organic compounds	Lipids and lipid-like molecules	Organooxygen compounds	none	Indolonaphthyridine alkaloids;Saccharolipids	88.6296	314.457	529.3884	266.6898	95.5764	350.75819999999993	160.0392	93.7236	111.60810000000001	329.85150000000004	110.99459999999999	156.54719999999998	151.9518	350.2632	147.4812	94.51650000000001	75.006	95.69279999999999	409.8888	1599.7802837	100.32059999999998	437.6018203	502.32300000000004	98.59620000000001	131.11950000000002	101.54640000000002	195.57779999999997	323.8902	552.3312	135.0198	63.613200000000006	91.69140000000002	177.315	122.13029999999999	113.6274	10.6155	62.126999999999995	301.73639999999995	385.2392501	64.53	101.33160000000001	77.4315	107.1003	186.1389	145.374	327.7134	1279.6885499999999	42.4182	239.70239999999998	36.269999999999996	33.912	342.17459999999994	92.7495	57.1167	74.8311	41.1255	90.5748	138.95767529	214.0932	37.6164	94.0566	317162.925897	972.28438331	158.72729999999999	178.77349013999998	317.4051	104.8788	191.3508	26.4888	25.2822	624103.5515719999
Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Amino acids, peptides, and analogues	Cyclic peptides	432.5498999999999	8383.034838	28753.2546286	44990.36202380001	892.1209925	307.6515	106002.75579000001	10493.174735199998	243.27509999999995	676.1945246299999	499.81649999999996	457.04519999999997	740.7461999999999	476.8591295999999	770.11944322	748.6682999999999	614.8749	1016.4564	1136.58179196	1341.73384087	1052.0479074300001	333.8865	385.38660000000004	733.8411398100001	1049.4945	1018.4145	574.8579	343.371	397.8155977699999	339.17418218999995	245.31000000000003	1162.9046999999998	703.3995	351.74580000000003	449.88570000000004	108.8049	139.6791	320.9529	556.57611357	325.24830000000003	393.6863867100001	195.2328	221.79510000000002	322.89930000000004	700.0186604600002	2479.2612217099995	188762.5979513	398.52810000000005	146.59500000000003	444.5394	327.2775	149.2683	229.33410000000003	171.0828	257.3973	133.8693	271.479	189342.55211	1132625.2546260399	171480.08802999998	820.0990832100001	2147.9168328	381.3693802700001	329878.1817593	248432.08853499996	1139.6514248	582.3546	15730.195644689999	857.6945493599999	2405.0349810899997	1619.4029867499996
Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Amino acids, peptides, and analogues;Steroidal glycosides	Steroidal saponins	228.38655290000003	12.5343	49.776	12.1695	6.84	12.7125	0.0	119.7912	31.2054	4.7058	473.51213500000006	19.7964	87.95997421999999	8.64	351.246443	30.478199999999998	4.3911	50.9517	27.6183	112.88964935	29.4756	32.1405	10.665	0.0	26.7498	34.6293	9.1638	45.5706	0.0	29.6352	8.2662	0.0	263.0606207	14.322000000000001	0.0	49.4829	21.9429	21.8262	25.0992	17.351399999999998	0.0	252.7029	0.0	4.242	27.4122	64.2606	0.0	0.0	0.0	11.2728	14.6502	134.7888	0.0	0.0	0.0	0.0	35.1669	22.1796	47.2023	249.35885735	32.7975	269.1381443	46.6335	99.87989999999999	223.91194942	106.035	141.7396708	1479.4467200000001	49151.976097	113100.44155	82.26240000000001
