CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	shmotifs	topX	topXinNode
375	1778	9.98502	0	0.776457	0.513966	2	motif_172	motif_172,NA,NA,NA,NA	motif_172
1661	1884	-14.0176	0	0.746437	0.572073	3		NA,NA,NA,NA,NA	
965	1966	30.0101	0	0.703213	0.561025	3		NA,NA,NA,NA,NA	
965	1661	30.0102	0	0.769737	0.66477	3		NA,NA,NA,NA,NA	
1661	1966	-6.10352e-05	0	0.737271	0.578559	3		NA,NA,NA,NA,NA	
965	1884	15.9926	0	0.798683	0.673013	3		NA,NA,NA,NA,NA	
1669	2201	30.0113	0	0.829787	0.673656	3		NA,NA,NA,NA,NA	
1884	2201	43.9911	0	0.779674	0.583238	3		NA,NA,NA,NA,NA	
1432	1754	2.01208	0	0.859992	0.701556	4		motif_68,motif_80,NA,NA,NA	
261	1009	10.0183	0	0.746898	0.622361	4		motif_68,motif_80,NA,NA,NA	
27	352	15.9948	0	0.921091	0.699836	4		motif_68,motif_80,NA,NA,NA	
1637	1695	-118.041	0	0.83655	0.65285	4		motif_68,motif_80,NA,NA,NA	
712	1009	314.297	0	0.900191	0.66897	4		motif_68,motif_80,NA,NA,NA	
261	712	-304.279	0	0.832063	0.747024	4		motif_68,motif_80,NA,NA,NA	
1268	1477	2.01373	0	0.853509	0.715036	4		motif_68,motif_80,NA,NA,NA	
1101	1875	0.000305176	0	0.900205	0.781575	4	motif_68	motif_68,motif_80,NA,NA,NA	motif_68
1672	1875	-79.8455	0	0.768488	0.545631	4	motif_68	motif_68,motif_80,NA,NA,NA	motif_68
287	1009	86	0	0.861998	0.686718	4		motif_68,motif_80,NA,NA,NA	
27	515	-590.324	0	0.959279	0.874468	4		motif_68,motif_80,NA,NA,NA	
352	1016	-46.006	0	0.810517	0.52914	4		motif_68,motif_80,NA,NA,NA	
1101	1877	30.0101	0	0.805275	0.623421	4		motif_68,motif_80,NA,NA,NA	
352	1622	-118.025	0	0.886429	0.655842	4	motif_80	motif_68,motif_80,NA,NA,NA	motif_80
1754	2003	-30.0074	0	0.855191	0.643957	4		motif_68,motif_80,NA,NA,NA	
27	1016	-30.0112	0	0.860764	0.572601	4		motif_68,motif_80,NA,NA,NA	
712	1754	286.298	0	0.778937	0.498277	4		motif_68,motif_80,NA,NA,NA	
1101	1672	79.8458	0	0.829267	0.626474	4	motif_68	motif_68,motif_80,NA,NA,NA	motif_68
1245	2003	2.0144	0	0.84356	0.730884	4		motif_68,motif_80,NA,NA,NA	
261	1432	-19.9928	0	0.800305	0.561801	4		motif_68,motif_80,NA,NA,NA	
1875	1877	30.0098	0	0.785365	0.623421	4		motif_68,motif_80,NA,NA,NA	
261	1672	-46.0067	0	0.808688	0.575887	4		motif_68,motif_80,NA,NA,NA	
1637	1875	-132.018	0	0.751135	0.649235	4	motif_68	motif_68,motif_80,NA,NA,NA	motif_68
27	1009	-2.05139	0	0.849	0.622361	4		motif_68,motif_80,NA,NA,NA	
712	1268	-21.9841	0	0.932876	0.837365	4		motif_68,motif_80,NA,NA,NA	
73	361	-42.0129	0	0.974681	0.856167	5		motif_130,motif_86,motif_149,motif_74,motif_140	
239	897	-15.9945	0	0.790524	0.608398	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1340	1346	230.081	0	0.956669	0.800574	5		motif_130,motif_86,motif_149,motif_74,motif_140	
999	1783	-15.9952	0	0.963264	0.881137	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
62	2039	-162.033	0	0.867451	0.659911	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1328	1455	-176.058	0	0.890322	0.638319	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
741	999	-14.0151	0	0.932956	0.753733	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1080	1921	-84.0172	0	0.931319	0.794515	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1480	1609	-29.8816	0	0.964964	0.782332	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
489	1696	-15.9939	0	0.960124	0.75745	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
29	203	14.0146	0	0.988292	0.873132	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
1159	1532	-0.00119019	0	0.881189	0.794389	5	motif_140,motif_145	motif_130,motif_86,motif_149,motif_74,motif_140	motif_140
1328	1696	130.061	0	0.921924	0.75455	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
317	1707	15.9926	0	0.968703	0.863748	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
1109	1433	9.88821	0	0.914434	0.909184	5	motif_130,motif_74	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130,motif_74
731	1115	42.0105	0	0.928623	0.777644	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
489	1676	-260.089	0	0.922823	0.756922	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
633	1921	42.012	0	0.946672	0.781785	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1433	1783	42.1038	0	0.918609	0.728176	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
407	1838	-0.000518799	0	0.960271	0.871315	5		motif_130,motif_86,motif_149,motif_74,motif_140	
303	638	-13.9999	0	0.962216	0.87171	5		motif_130,motif_86,motif_149,motif_74,motif_140	
731	1921	0.000793457	0	0.936673	0.754022	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1109	1355	-62.056	0	0.838091	0.614801	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
492	813	1.97852	0	0.978	0.835407	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
29	813	132.041	0	0.956315	0.757383	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
489	598	2.00079	0	0.958915	0.848118	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1696	2135	148.039	0	0.925618	0.790796	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1433	2135	58.0998	0	0.892972	0.655429	5		motif_130,motif_86,motif_149,motif_74,motif_140	
633	1073	84.0197	0	0.932403	0.709301	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1083	1318	15.9939	0	0.972787	0.833427	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
998	1318	15.994	0	0.926791	0.791137	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1318	1676	-84.022	0	0.968486	0.842875	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
319	492	-15.9937	0	0.980726	0.863705	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
731	1073	42.0085	0	0.920933	0.766334	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
29	1769	-114.033	0	0.962426	0.800544	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
319	813	-14.0152	0	0.993551	0.924351	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
598	1783	114.048	0	0.955648	0.87213	5		motif_130,motif_86,motif_149,motif_74,motif_140	
413	1083	-162.052	0	0.939849	0.761301	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
62	1115	-84.0211	0	0.925736	0.721433	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1609	1961	15.9966	0	0.948853	0.823473	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
741	1783	-30.0103	0	0.973007	0.848604	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
29	56	116.047	0	0.967854	0.82953	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
303	998	-14.0165	0	0.972769	0.883925	5		motif_130,motif_86,motif_149,motif_74,motif_140	
203	1769	-128.048	0	0.965622	0.840134	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
2039	2233	162.052	0	0.830503	0.581689	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1073	1328	114.035	0	0.943272	0.757526	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
577	1838	58.0042	0	0.886128	0.76325	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
303	1707	-14.0165	0	0.972769	0.883925	5		motif_130,motif_86,motif_149,motif_74,motif_140	
498	1073	126.032	0	0.930418	0.67817	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
203	1346	102.033	0	0.961055	0.787995	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
598	1480	-2.12927	0	0.961319	0.847399	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1229	1918	0.019104	0	0.912805	0.728576	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
1783	2135	15.996	0	0.963264	0.881137	5		motif_130,motif_86,motif_149,motif_74,motif_140	
239	1532	32.0252	0	0.805189	0.68407	5		motif_130,motif_86,motif_149,motif_74,motif_140	
633	731	42.0112	0	0.938097	0.748166	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
62	1921	-126.031	0	0.894879	0.684102	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1696	1961	1.98041	0	0.957848	0.78911	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1340	1997	246.076	0	0.950972	0.822707	5		motif_130,motif_86,motif_149,motif_74,motif_140	
883	1229	162.053	0	0.916509	0.665615	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
638	1791	0.00634766	0	0.968837	0.871512	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
160	407	27.9953	0	0.929939	0.772078	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1073	1769	-15.9941	0	0.91999	0.751536	5		motif_130,motif_86,motif_149,motif_74,motif_140	
633	1676	84.0195	0	0.931573	0.640613	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
62	944	-192.044	0	0.875585	0.603144	5		motif_130,motif_86,motif_149,motif_74,motif_140	
317	998	15.9926	0	0.968703	0.863748	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
638	1229	-146.074	0	0.901271	0.749977	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
498	1921	84.0239	0	0.925462	0.704603	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
171	638	16.0133	0	0.95373	0.869798	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
489	1083	-192.061	0	0.93001	0.817568	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1328	1676	-114.035	0	0.955567	0.796011	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
824	1997	-88.0518	0	0.956749	0.859832	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
73	498	-84.0252	0	0.952891	0.791034	5		motif_130,motif_86,motif_149,motif_74,motif_140	
203	1340	-128.048	0	0.964568	0.828212	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1696	1783	132.043	0	0.936493	0.8157	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1083	1676	-68.0281	0	0.965612	0.767266	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
203	998	-44.0257	0	0.963042	0.867242	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
56	171	-162.054	0	0.964837	0.915009	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
62	413	146.057	0	0.941148	0.850054	5		motif_130,motif_86,motif_149,motif_74,motif_140	
222	577	-72.0217	0	0.925455	0.812814	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
56	813	15.9948	0	0.956004	0.84715	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
1073	1318	84.0218	0	0.952182	0.78888	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1159	1557	-15.9927	0	0.794155	0.676137	5	motif_140	motif_130,motif_86,motif_149,motif_74,motif_140	motif_140
1318	1480	175.939	0	0.952239	0.788218	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
361	498	-42.0123	0	0.960817	0.817718	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
598	999	130.043	0	0.958468	0.873689	5		motif_130,motif_86,motif_149,motif_74,motif_140	
741	1057	-33.9833	0	0.859875	0.611521	5		motif_130,motif_86,motif_149,motif_74,motif_140	
73	1921	-0.00128174	0	0.945694	0.711946	5		motif_130,motif_86,motif_149,motif_74,motif_140	
160	577	-30.0094	0	0.948037	0.78921	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
73	1115	42.0084	0	0.919534	0.681288	5		motif_130,motif_86,motif_149,motif_74,motif_140	
29	1346	116.048	0	0.964231	0.758797	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
638	1707	-0.0166016	0	0.965007	0.869798	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
1355	1783	114.048	0	0.846262	0.69096	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
998	1791	0.0229492	0	0.952567	0.812263	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
1480	1961	-13.885	0	0.963988	0.827042	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
507	1159	18.0107	0	0.809079	0.726774	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1455	1918	-15.9878	0	0.884843	0.709912	5		motif_130,motif_86,motif_149,motif_74,motif_140	
999	2135	0.000793457	0	1	1	5		motif_130,motif_86,motif_149,motif_74,motif_140	
598	1696	-17.9947	0	0.97013	0.845451	5		motif_130,motif_86,motif_149,motif_74,motif_140	
638	1322	15.9976	0	0.908968	0.770449	5		motif_130,motif_86,motif_149,motif_74,motif_140	
741	1159	102.032	0	0.846416	0.708904	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
222	407	-14.017	0	0.977223	0.914306	5		motif_130,motif_86,motif_149,motif_74,motif_140	
489	1799	-27.9934	0	0.916188	0.722211	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
222	824	-72.0218	0	0.935907	0.833282	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
489	1480	-0.128479	0	0.962918	0.761776	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
598	1609	-32.0109	0	0.951641	0.879003	5		motif_130,motif_86,motif_149,motif_74,motif_140	
741	2135	-14.0143	0	0.932956	0.753733	5		motif_130,motif_86,motif_149,motif_74,motif_140	
361	413	314.099	0	0.922328	0.635113	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
598	1961	-16.0143	0	0.947181	0.868717	5		motif_130,motif_86,motif_149,motif_74,motif_140	
203	1707	-44.0257	0	0.963042	0.867242	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
413	598	32.01	0	0.943093	0.937856	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1073	1676	-0.000183105	0	0.978009	0.833017	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1328	1480	145.926	0	0.956479	0.814898	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
303	317	-30.0091	0	0.981929	0.847406	5	motif_149	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149
239	1159	32.0264	0	0.890748	0.812885	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
239	507	14.0157	0	0.84457	0.78738	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1083	1609	162.051	0	0.949477	0.750443	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
62	1080	-42.0135	0	0.932727	0.74597	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1433	1480	-74.0735	0	0.937488	0.84726	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1109	1115	-324.144	0	0.85347	0.524759	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
998	1769	-84.0219	0	0.925938	0.839706	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
813	1997	0.0012207	0	1	1	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
492	1346	-14.0149	0	0.967065	0.818318	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
633	1318	168.042	0	0.930535	0.645808	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
824	1838	58.0043	0	0.943356	0.837178	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
413	1480	29.8807	0	0.935158	0.783952	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
407	824	-58.0048	0	0.935556	0.801463	5		motif_130,motif_86,motif_149,motif_74,motif_140	
160	222	42.0123	0	0.95325	0.821687	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
813	1346	-15.9934	0	0.982948	0.925824	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
361	1115	84.0213	0	0.911591	0.654901	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
498	1676	126.031	0	0.924663	0.598276	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1083	1480	191.933	0	0.936415	0.690883	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
598	1433	71.9442	0	0.939345	0.74033	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1115	2039	-78.0118	0	0.859776	0.583069	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
638	1975	-15.9883	0	0.883628	0.769114	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
171	998	15.9967	0	0.988232	0.929126	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
303	1340	-98.0384	0	0.957702	0.791476	5		motif_130,motif_86,motif_149,motif_74,motif_140	
73	1080	84.0159	0	0.92738	0.684208	5		motif_130,motif_86,motif_149,motif_74,motif_140	
303	1769	-98.0384	0	0.958277	0.822211	5	motif_149	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149
56	1346	0.00140381	0	0.956126	0.819892	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
160	824	-30.0095	0	0.932452	0.813012	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
56	317	-162.05	0	0.96867	0.884373	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
638	998	-0.0166016	0	0.965007	0.869798	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
1609	1676	-230.079	0	0.942145	0.784597	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
998	1707	0	0	1	1	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
29	1340	-114.033	0	0.961026	0.783207	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1115	1921	-42.0097	0	0.914151	0.752315	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1229	1269	78.069	0	0.841833	0.467998	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
1340	1769	0	0	0.94306	0.79229	5		motif_130,motif_86,motif_149,motif_74,motif_140	
883	1918	162.072	0	0.893923	0.638765	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
741	1433	-72.1141	0	0.895523	0.780333	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
361	1921	42.0116	0	0.930733	0.678161	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1707	1791	0.0229492	0	0.952567	0.812263	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
999	1696	-148.038	0	0.925618	0.790796	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1433	1696	-89.9389	0	0.936717	0.887215	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1908	1918	-0.00012207	0	0.896758	0.689847	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
489	1328	-146.055	0	0.950944	0.825858	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
492	824	90.0315	0	0.951371	0.832793	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
317	1340	-68.0293	0	0.960931	0.821277	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1322	1455	-146.065	0	0.922698	0.763778	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
56	998	-146.058	0	0.9819	0.947075	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
29	319	146.057	0	0.96275	0.806642	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
29	317	-46.0036	0	0.98273	0.82953	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
319	1340	-260.089	0	0.952376	0.843411	5		motif_130,motif_86,motif_149,motif_74,motif_140	
413	731	-272.089	0	0.926867	0.702754	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
498	731	84.0231	0	0.941222	0.735031	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1433	1961	-87.9585	0	0.914257	0.750083	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1073	1083	68.0279	0	0.946692	0.756249	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
944	2039	30.011	0	0.907047	0.62585	5	motif_130,motif_74	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130,motif_74
160	1749	-102.197	0	0.810046	0.654574	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
361	1080	126.029	0	0.923118	0.668947	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
999	1355	-130.043	0	0.828977	0.679977	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
29	492	130.063	0	0.963394	0.81007	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
498	633	42.0119	0	0.955348	0.817734	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1455	2233	146.065	0	0.889659	0.715668	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1455	2039	-15.9868	0	0.918315	0.699479	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
413	1609	-0.000854492	0	0.961343	0.897749	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
413	1080	-188.071	0	0.939712	0.782899	5	motif_130,motif_74	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130,motif_74
303	1346	132.042	0	0.957909	0.779904	5	motif_149	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149
62	1109	240.123	0	0.897391	0.639868	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1318	1961	162.054	0	0.937531	0.830143	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1676	1769	-15.9939	0	0.928609	0.762462	5		motif_130,motif_86,motif_149,motif_74,motif_140	
160	1838	27.9948	0	0.915917	0.745967	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
56	1707	-146.058	0	0.9819	0.947075	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
317	1769	-68.0293	0	0.962938	0.847133	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
56	303	-132.041	0	0.971985	0.872614	5	motif_149	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149
598	2135	130.044	0	0.958468	0.873689	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1322	2039	-162.052	0	0.834641	0.584243	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
319	824	74.0378	0	0.96549	0.888073	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
56	492	14.0163	0	0.967993	0.892824	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
498	1080	168.041	0	0.912356	0.682895	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
319	1997	-14.014	0	0.993551	0.924351	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
73	633	-42.0133	0	0.960572	0.814378	5		motif_130,motif_86,motif_149,motif_74,motif_140	
62	1083	-15.9952	0	0.928533	0.803971	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1318	1609	146.057	0	0.963169	0.842089	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
492	1997	1.97974	0	0.978	0.835407	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
489	1318	-176.068	0	0.94653	0.823435	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1322	2233	-0.00012207	0	0.845858	0.688156	5		motif_130,motif_86,motif_149,motif_74,motif_140	
171	1791	16.0197	0	0.946655	0.835527	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
29	303	-15.9945	0	0.979902	0.82953	5	motif_149	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149
1159	1783	-132.042	0	0.835804	0.776117	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
203	319	132.042	0	0.959166	0.862675	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
577	1749	-72.188	0	0.792567	0.568821	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
813	1340	-246.074	0	0.950972	0.822707	5		motif_130,motif_86,motif_149,motif_74,motif_140	
1609	1696	14.0162	0	0.939653	0.757913	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1080	1115	-42.0075	0	0.928539	0.801186	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
813	824	88.053	0	0.956749	0.859832	5	motif_149,motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_149,motif_86
171	1707	15.9967	0	0.988232	0.929126	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
1286	1328	-116.067	0	0.895437	0.68289	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
203	317	-60.0182	0	0.983765	0.865484	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
489	1961	-14.0135	0	0.960402	0.796486	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1269	1908	-78.0498	0	0.828233	0.457186	5	motif_86	motif_130,motif_86,motif_149,motif_74,motif_140	motif_86
1480	1696	-15.8654	0	0.964798	0.886913	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
1328	1609	116.045	0	0.957104	0.842089	5	motif_130	motif_130,motif_86,motif_149,motif_74,motif_140	motif_130
